Generation,Best_Height,Mean_Height
0,1.6596585997291715,0.15744799647287716
1,1.6596585997291715,0.5586686673509653
2,1.6596585997291715,0.3254432132292532
3,2.4357342499864125,0.5669904751303869
4,2.4357342499864125,0.66504152018579
5,2.4468176958947585,0.7975174631548684
6,4.363045387201545,0.7086023327531612
7,4.606214572635913,0.7585872581454693
8,4.606214572635913,0.8131378633969926
9,4.606214572635913,1.1391896119400726
