Generation,Best_Height,Mean_Height
0,3.454202873127959,0.8990413152206045
1,3.454202873127959,0.8988182721347584
2,3.454202873127959,0.7131165338943644
3,3.454202873127959,0.7999438427476182
4,3.454202873127959,1.00743359945219
5,3.454202873127959,1.194765075064292
6,3.454202873127959,0.869168975283354
7,3.454202873127959,1.1493485151535645
8,3.454202873127959,0.7363563155221164
9,3.454202873127959,1.0842881919952894
10,3.454202873127959,1.4580052941103658
11,3.454202873127959,1.388741685026508
12,3.454202873127959,1.0093571823946144
13,3.454202873127959,1.513622919449564
14,3.454202873127959,1.393228748620782
15,3.454202873127959,1.8032741983626437
16,3.454202873127959,1.753068633188752
17,3.454202873127959,2.164663347234242
18,3.454202873127959,2.1940853085881575
19,3.454202873127959,2.2647680247311657
20,3.454202873127959,2.3004463883059776
21,3.454202873127959,2.1272593185600144
22,3.454202873127959,2.3119470568954457
23,3.454202873127959,2.176064336279391
24,3.454202873127959,2.1572839185891235
25,3.454202873127959,2.3562114996365104
26,3.454202873127959,2.1540739866176355
27,3.454202873127959,2.14028594771359
28,3.454202873127959,2.140658193738913
29,3.454202873127959,1.8449149132804297
30,3.454202873127959,2.2840964206396377
31,3.454202873127959,2.1685795643661203
32,3.454202873127959,1.9721947761858012
33,3.454202873127959,1.938218734617612
34,3.454202873127959,2.0531724746228965
35,3.454202873127959,2.012140207796033
36,3.454202873127959,1.6912520751972149
37,3.454202873127959,1.7428794015132152
38,3.454202873127959,1.5065228264134756
39,3.454202873127959,1.4277317509199574
40,3.454202873127959,1.5570135008897623
41,3.454202873127959,1.4143507859406146
42,3.454202873127959,1.442845508096075
43,3.454202873127959,1.1220380203852176
44,3.454202873127959,1.4347157211953667
45,3.454202873127959,1.6082041033432275
46,3.454202873127959,1.8828406162584777
47,3.454202873127959,1.421246822152166
48,3.454202873127959,1.6977203068365463
49,3.454202873127959,1.5246620221332214
50,3.454202873127959,1.677947878154918
51,3.454202873127959,1.6596169179901459
52,3.454202873127959,1.4473813225074001
53,3.454202873127959,1.5867814580561772
54,3.454202873127959,1.4843968683262951
55,3.454202873127959,1.6116062426727158
56,3.454202873127959,1.6265666303864343
57,3.454202873127959,1.4782000914362774
58,3.454202873127959,1.713087818176095
59,3.454202873127959,1.6772127086933881
60,3.454202873127959,1.5635240418830876
61,3.454202873127959,1.4124216355970785
62,3.454202873127959,1.6287119277278905
63,3.454202873127959,1.4973552958608665
64,3.454202873127959,1.4807103263423793
65,3.454202873127959,1.7070913585949932
66,3.454202873127959,1.4759878119834275
67,3.454202873127959,1.5309196982064814
68,3.454202873127959,1.6244565561014745
69,3.454202873127959,1.778511927821673
70,3.454202873127959,1.5299707402474694
71,3.454202873127959,1.51704277040674
72,3.454202873127959,1.4139731063295038
73,3.454202873127959,1.5278638204094084
74,3.454202873127959,1.7644020120962487
75,3.454202873127959,1.584930680460905
76,3.454202873127959,1.2669489165652847
77,3.454202873127959,1.449348321495773
78,3.454202873127959,1.2673715962022052
79,3.454202873127959,1.7322290027692475
80,3.454202873127959,1.5329960538845229
81,3.454202873127959,1.5301079820053283
82,3.454202873127959,1.1089054875330255
83,3.454202873127959,1.6527307411957743
84,3.454202873127959,1.2039724025276146
85,3.454202873127959,0.9703844619599267
86,3.454202873127959,1.4695365880106397
87,3.454202873127959,1.4803827354932113
88,3.454202873127959,1.0269815801884057
89,3.454202873127959,1.0785907974419757
90,3.454202873127959,1.1717171381372211
91,3.454202873127959,1.3331862876558227
92,3.454202873127959,1.538019349288636
93,3.454202873127959,1.5770354823979849
94,3.454202873127959,1.6624559256610525
95,3.454202873127959,1.385034962809176
96,3.454202873127959,1.4643987667918854
97,3.454202873127959,1.3944290187360278
98,3.454202873127959,1.266665765023716
99,3.454202873127959,1.3032575455838942
