Generation,Best_Height,Mean_Height
0,7.165730070686321,1.3499738283168603
1,6.5930210550207295,2.210004784040445
2,6.613361351975007,3.1679167669034927
3,6.677826315508211,2.8163597834648035
4,6.21521824578442,2.7542144724270985
5,5.790765588723047,1.9253996114465077
6,6.299350412528647,1.963913523497581
7,5.991195924778287,2.220090518326213
8,6.335247298776001,2.233265849344187
9,6.569290486874478,2.623598220389893
10,5.929079634758247,2.523291641610035
11,5.997646069184374,2.3615194445851544
12,6.510290137591381,2.5683093189070196
13,6.248225732102255,2.549871216088939
14,6.423941437873466,2.5444610979035938
15,5.956159987478969,1.995156011510037
16,6.012727088744587,1.1537840231847174
17,6.345288151649887,2.1923855387359765
18,5.8884648633165675,1.2006708752327906
19,6.055148394924336,1.8525565828592943
20,6.080911072501516,1.9300309812069116
21,6.19426169645263,2.4632557247552747
22,6.6601555706044735,3.915585462460239
23,6.274079976180605,2.545593942224225
24,6.641716397889029,3.0786291139432955
25,6.321706512010532,3.8856774652329156
26,6.392986857821303,2.791448077697768
27,6.697669394611351,3.416499976685622
28,6.96811740383721,2.074516435946465
29,6.908855006866874,3.3244677447784996
30,6.399693888174359,2.4577339095914508
31,6.2743643268670874,2.8305923776561634
32,6.485086556210781,2.251443953648088
33,7.09296633547981,3.331284490522188
34,6.699246731916904,2.85829915631563
35,5.990079097647453,2.2845166841000637
36,6.055143136894139,1.7051572757326636
37,5.9169384329039625,1.7238854182869638
38,6.2927925915794996,2.680281793337048
39,6.110278798876104,2.0540160924154374
40,6.449911045839878,2.6099839010934014
41,6.829595785245841,1.4644344997202114
42,6.428245686298004,3.3882579716331307
43,6.585240545885902,3.4415091050538735
44,6.463094638077336,2.2920552352814023
45,6.8987796297397335,3.169668533569095
46,6.32275050641735,2.7792020943950138
47,6.614330154445201,1.997793645734052
48,6.668404908841236,3.4514835121500895
49,6.189247847620834,2.7881895319005237
50,6.859026400660314,4.527842419788142
51,6.150142414254842,2.215664977832956
52,6.340141318070107,2.846441205235945
53,6.134510945131952,2.7463088070880195
54,6.264342896492386,3.507301712370606
55,6.657868658722113,3.155210539187717
56,6.397034646490022,3.11549629086105
57,6.3939699779653045,2.5010511103749904
58,5.8037045011181645,1.8379058469121468
59,6.102294216932705,3.6520163645926695
60,6.3867085892730096,3.1878720183333646
61,6.422555535050657,2.853260131635536
62,6.517786436113656,2.297580338276671
63,6.553915859057829,3.738316579231926
64,6.879424747975134,3.2558159248008054
65,6.111596241090391,2.183288872738533
66,6.636588262609357,3.354956516004004
67,5.803856404266528,1.9767228812016602
68,6.308345025836012,3.0585450926474946
69,6.219059324245703,2.208498635756394
70,6.221867132977196,3.0094770756493245
71,6.04001826945827,2.5598211333797845
72,6.731273143581935,2.2815022581230298
73,6.3122095705913885,2.6922999265578373
74,6.878008924778693,2.608808262697918
75,6.327488419933705,2.2038871889196208
76,6.341057906919731,2.3969946815878864
77,6.283631649444972,2.4553915809648936
78,6.3480254095345385,2.55043453852387
79,6.250742057759963,2.760775481988832
80,6.26382429414581,1.6634088861982383
81,5.950582009779853,1.599078902321064
82,6.329804950546713,1.3211703354302127
83,6.110455626422902,2.1304789354255984
84,6.466291103737646,1.417440480617509
85,6.0594082155034314,1.8555285078161916
86,6.177968105330399,1.5184555015993813
87,6.333340088757304,3.6602044731110395
88,6.594873016110434,2.3250282193934413
89,6.409163499719047,4.096479740112454
90,6.303667025285294,1.7935531510282552
91,6.32495008175743,2.86428966775176
92,6.142893418716025,3.327555007540577
93,6.410558409441292,4.262744136597603
94,6.401017639522805,2.871915257616088
95,6.3013197434251795,3.6451922934627197
96,6.09503194045301,2.8839576189754665
97,6.078529398354802,1.648231445747396
98,6.273110344760791,2.8268549420333415
99,6.347636491677001,2.8373421929046763
100,6.472337758002602,2.283086975418974
101,5.961014643144219,1.7161918844717519
102,6.365200988438878,2.2511727395718237
103,6.045304984393965,1.3481646680603119
104,6.022399721343262,1.1171658286998067
105,6.0469883724739875,2.6739082911310006
106,6.325647306756145,2.7006701727065408
107,5.553573129548648,1.2785882449069927
108,6.6056347292609905,1.7115816880720058
109,5.844128792631328,1.4121840046223748
110,6.0821138027353525,2.089242660989984
111,6.148300718749356,1.5228524435527486
112,6.148300718749356,1.9386940561004362
113,5.958818039330962,1.9596311503601296
114,6.018258891493504,2.6031002932140037
115,6.242305865410964,2.541580915307233
116,6.336048598056909,3.253978750014268
117,6.331175794488584,2.831693298378375
118,6.15436058028421,3.3253117431847605
119,5.902650680088548,2.7401421968408357
120,6.147511700638728,2.5681303421199586
121,6.63180734442163,3.048962390132418
122,6.234125073711357,3.8965425507224887
123,6.136520478776378,2.803136356765586
124,6.1454650714659795,1.8692681228855208
125,6.48445571542625,2.913833258823575
126,6.816148448901067,1.6076300746741388
127,6.816148448901067,3.0665157414204165
128,6.816148448901067,2.5765332484396195
129,6.49949069935506,2.8285460090649264
130,6.2272199332719875,2.35215587579882
131,6.454724837653221,2.8331413598765036
132,6.557590353615198,3.015669070361919
133,6.219210762020909,3.5188617643542934
134,6.285225360435643,2.706216566972725
135,6.446666473364651,2.447614159294899
136,6.008501429571577,2.7992816028992005
137,6.088012944492481,1.9808401582863233
138,6.273348038997765,4.183113802441609
139,6.489804280198233,2.6890911810188585
140,6.489804280198233,3.0490871199442156
141,5.998356917549492,3.3180307384237517
142,6.802460878885986,2.7717535672180977
143,6.450352382080676,2.8339930670857925
144,6.538153918311808,2.417980012436515
145,6.18971657879416,3.224999369874093
146,6.143371155433819,3.1762421925626745
147,6.414255637519108,2.2190506384405975
148,6.221091613226559,2.8576464437438007
149,6.391001182840256,3.3692177921139193
150,5.804776897047835,2.41103427722517
151,6.524577808306398,2.743923641677732
152,6.6755329827507115,2.409517798689361
153,5.882544934750301,2.5666843119641536
154,6.435542859887212,3.1755417693202648
155,5.974619455775922,2.733295406235957
156,6.643500311726036,2.307665147726811
157,6.349526850036918,2.7230483159299794
158,7.160541051945371,4.200225349251935
159,6.1463334855456,3.685278316628424
160,6.393981715792817,3.099011337866151
161,6.48043975398993,2.656826260694992
162,6.511785888227347,2.2293133383380352
163,6.756628581405628,2.9728771145878925
164,6.6416888802990295,2.0087718020589014
165,6.596373237249329,2.6244518181739585
166,6.131303641872455,1.7147295135556906
167,6.318220000619375,2.5030626649924996
168,6.291237925912674,2.4578000670786593
169,6.495606936833903,2.3771606345408953
170,6.344004146178857,2.231852619725646
171,6.027247627699456,1.3854133072525787
172,5.93085551156674,3.195785802077409
173,6.211011266627928,2.915533183231874
174,6.243481697911048,2.442103376915738
175,6.281683955176098,2.479688259673505
176,6.410346239281147,3.5865968113117885
177,6.579938608012083,2.230458928294234
178,6.289053293270664,1.9958843842090226
179,6.325017650164618,2.827738099904045
180,6.525111656849782,2.7074916937236773
181,6.4288515605505685,3.198169313261407
182,6.874177376445445,3.504371390274213
183,5.811464131636524,2.1767631556754763
184,6.15098979924065,2.4631007735992005
185,6.129780323617864,2.3875089547046677
186,6.175421974972398,2.4344460862901895
187,6.428259541481611,2.277268620787318
188,5.941367332611889,2.741997738511294
189,6.192131115997197,2.5555100341662396
190,6.070441707382731,2.2702874358893568
191,6.4261398653784925,3.4553047884381494
192,6.17870621340061,3.379832392508038
193,6.154375106974542,2.536732654311562
194,6.232990051480161,2.364228031783682
195,6.858891743258078,3.109674982854735
196,6.133465622160526,4.226160875975405
197,6.456403645891211,3.3968919935930684
198,6.338355391000495,3.085445844280378
199,6.5682770953373755,3.528369937745745
200,6.8322277317327185,3.527233024639415
201,6.61465078736201,2.3243029436875893
202,6.3982113113025365,3.9027885009881325
203,6.906104195954602,3.2159677054565554
204,6.4211503663446745,1.964052774848529
205,6.956878373937886,2.902814699093757
206,7.408631486827901,2.593194422563996
207,6.774439647880566,3.4077680557770442
208,6.316248791737845,3.334060361954066
209,6.544481117367592,3.4771635949080597
210,6.640102645476482,3.0673638737901205
211,6.46560186671896,3.7998706519806746
212,7.715734035751892,1.589166680155967
213,7.715734035751892,4.135809511274641
214,6.924458872741451,2.9993053035112296
215,6.927543759237079,3.4431421670291926
216,6.653135376546557,3.0744693164413874
217,6.375432123993213,3.119342005846234
218,6.90026565406151,1.840128204294026
219,6.820538191285392,2.5907392033112813
220,6.8328670391402975,2.6750276492651017
221,6.82219533682116,2.965949185758059
222,6.190865942972373,2.3125093605684026
223,7.3931852542787455,3.261951694155136
224,6.567237466103144,3.460167490479614
225,6.245551077057285,2.879788897362211
226,6.920101761450362,2.3616770855289984
227,6.459166705018162,2.9081422108864508
228,6.23468666889808,2.9625574379380275
229,6.327440685612026,3.8878509965674164
230,6.559172142010542,3.33889739183821
231,6.559769148339574,3.295227692143854
232,6.588896032329976,2.8758342363010243
233,6.6597087603638165,3.344169737873208
234,6.734782128045722,2.8127398019353094
235,6.7494235241204565,3.660189036989889
236,6.6952327561275915,3.760116027338462
237,6.6520954328211825,2.328025858369184
238,6.808251825829178,3.665717210271642
239,6.254111123873245,3.5296157440250004
240,6.330921001939047,2.756426399678781
241,6.883415273559051,2.0832956314966187
242,7.077214578668982,2.834555618173409
243,6.367277577138325,1.7069279542803977
244,6.862444807999912,2.618189642330879
245,6.877741494493395,2.782772290368172
246,6.782217469973309,4.0662667621905975
247,6.635666424939725,2.3161630119981886
248,6.297014441806292,3.392871995878127
249,6.335555668414656,2.7872280179989213
250,5.937586969279896,3.2461355422614666
251,6.645109017101481,2.076184893199249
252,6.977805919819205,3.2442914923600847
253,6.762536417096183,2.0494369179586878
254,6.387361721162241,3.329965609369573
255,6.442065139554958,4.204575787845857
256,6.369653105890696,2.4914509585707343
257,6.238281532607133,3.0589399808601727
258,6.491365517814918,2.959004907168739
259,6.401184197963913,3.345649449416238
260,5.760596427357892,2.7258975387177102
261,6.105147802098225,2.617035860749266
262,6.32617899828717,2.6618146459511327
263,6.244577931921792,2.0671430884805413
264,6.380750583135806,2.340888511700447
265,6.6075258005539,2.6050111225169603
266,6.452476880543458,2.6349931999741516
267,6.76947902779287,2.3144150039597067
268,7.107109581067971,2.298522661888647
269,6.551757332733302,1.9773329233503105
270,6.353313587908242,3.840786497488735
271,6.8977676308759905,3.1364470958000235
272,6.094157356188185,2.3838560765097783
273,6.290112249577379,2.28587734927679
274,6.512101800022879,2.496529280468248
275,6.335164973373143,2.5961481142376854
276,6.184257455096061,2.5134689995866006
277,5.934061177173587,2.249945280902007
278,6.538984691468041,3.3284067406015865
279,6.551978656921648,2.419785793773497
280,6.435274540735771,3.3056537974575493
281,5.986891839947,2.7000639738050554
282,6.88704468682136,2.9196880166555803
283,6.278538805885238,2.2130414139905636
284,6.239132427289918,2.4807767329272084
285,6.8664073490442235,2.6284145900655327
286,6.8664073490442235,3.594451481783132
287,6.009778536390201,2.226856272446442
288,6.661987856494939,3.3776953225322144
289,6.370870231203017,3.2851841958981205
290,6.214545830290949,2.7627994659871224
291,5.981451624629777,2.4712070485777584
292,6.640811699183459,3.373603743610223
293,7.051059744259796,2.297960521745391
294,6.171357588009862,1.3308640751153924
295,6.57857438453083,3.0994129981134377
296,6.6655616753084095,3.4719148541180744
297,6.896435747519228,2.7812380929839415
298,6.456920494940895,3.303705562089852
299,6.2927974987544815,3.6038439482418037
300,6.388620688557425,3.3135673790416176
301,6.2435914334021385,2.274546014083044
302,6.635447786769816,3.2026162027551175
303,6.407475221139227,4.569812383446189
304,6.201143647025153,2.51840433175886
305,6.502609850490031,3.9173926495449494
306,6.354983131947308,3.1326183509901
307,6.542736538913379,3.4802020932969726
308,6.923349389229524,4.796886880510934
309,6.278938358811807,2.8508443968844803
310,6.279988278771741,2.7264593002099957
311,6.244951547438703,2.821997769096616
312,6.044603814834462,1.9122386704934502
313,6.550125835578193,2.8876533180439696
314,6.326129002207965,3.6955010701235986
315,6.043343189329454,2.466695768941105
316,6.443746975024916,3.9412512108845106
317,6.430510697134381,3.012000956241123
318,6.663024352819825,4.2326838279049515
319,6.366449364543549,3.040604933836909
320,6.422629222190464,2.6204822502872687
321,6.458667158821568,3.4130586132391008
322,6.78690653763638,2.9022444166733243
323,6.831054131483895,2.553908312879049
324,7.2594113669087745,3.5781439614162713
325,7.2594113669087745,4.045861201140815
326,6.507453784338798,2.322625444355661
327,6.544570289046008,2.6423629211704083
328,6.5403466804458965,3.0768201902238688
329,7.454908353915867,4.111622867705328
330,6.860925086575583,3.8133515142107983
331,6.515218067105773,3.0026315910352563
332,6.274414386969222,3.6457528490833093
333,6.444943708372545,2.790634727090159
334,6.730369135510054,3.434984700735034
335,6.546245826997866,2.537804979139569
336,6.336426686300441,3.7220822470484434
337,6.630660429450134,2.288626956716743
338,6.022645846646903,2.2244927350298678
339,6.159762502799621,3.377423300075604
340,6.673453485026993,2.462778335520209
341,6.554620108397907,2.340860345462169
342,6.147544377894418,2.2728545067085575
343,5.80440836255738,1.0523012524526105
344,6.066179976659874,2.745769834016136
345,6.6358080210741734,2.567116614576609
346,6.343604616878042,2.632169654284503
347,6.029735965599899,1.222498199583147
348,6.524895985169619,1.45969725569426
349,6.334230628350909,3.0001509817468115
350,6.184094318705748,2.4681571964359463
351,6.184094318705748,1.9551776433278298
352,6.238005416747662,2.5298529377712824
353,6.444317951968991,3.2211221698168067
354,6.421907659880837,2.512760509643827
355,6.068595795067053,2.4217178280249416
356,6.294044212418542,1.9712381733850595
357,6.147132751147443,1.910410307062031
358,6.407788508637305,2.6142230553925594
359,6.007571972946418,3.0245797488647024
360,6.100541562108861,2.410635862346747
361,6.113385612990068,3.0398007480677323
362,5.969468221572112,1.8277493884237976
363,6.363414988250262,2.23640137093867
